"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""hiker.png""; 'ID Trainer Pics'!A:A; 0)); """")"
""

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""ninja_boy.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/weezing.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/muk-alola.png"")"
LUNG;Weezing @ Black Sludge;Muk-Alola @ Assault Vest
;Ability: Levitate;Ability: Corrosion
;Level: 1;Level: 1
;Adamant Nature;Adamant Nature
;- Gunk Shot;- Knock Off
;- Destiny Bond;- Poison Jab
;- Explosion;- Ice Punch
;- Will-O-Wisp;- Thunder Punch

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""camper.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/weezing-galar.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/thievul.png"")"
LAWRENCE;Weezing-Galar @ Black Sludge;Thievul @ Black Glasses
;Ability: Levitate;Ability: Stakeout
;Level: 1;Level: 1
;Modest Nature;Modest Nature
;- Strange Steam;- Parting Shot
;- Protect;- Dark Pulse
;- Explosion;- Knock Off
;- Dark Pulse;- Play Rough

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""pokemaniac.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/ninjask.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/heracross.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/magnezone.png"")"
WYATT;Ninjask @ Expert Belt;Heracross @ Muscle Band;Magnezone @ Occa Berry
;Ability: Technician;Ability: Moxie;Ability: Magnet Pull
;Level: 1;Level: 1;Level: 1
;Adamant Nature;Jolly Nature;Calm Nature
;- Feint Attack;- Trailblaze;IVs: 0 Atk
;- Bug Bite;- Megahorn;- Thunderbolt
;- U-turn;- Close Combat;- Mirror Coat
;- Dual Wingbeat;- Facade;- Body Press
;;;- Flash Cannon

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""fisherman.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/politoed.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/clodsire.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/cradily.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/pincurchin.png"")"
KAI;Politoed @ Expert Belt;Clodsire @ Black Sludge;Cradily @ Absorb Bulb;Pincurchin (M) @ Cell Battery
;Ability: Drizzle;Ability: Water Absorb;Ability: Storm Drain;Ability: Lightning Rod
;Level: 1;Level: 1;Level: 1;Level: 1
;Modest Nature;Impish Nature;Quiet Nature;Quiet Nature
;- Flip Turn;- High Horsepower;- Giga Drain;- Sucker Punch
;- Giga Drain;- Body Press;- Ancient Power;- Surf
;- Leech Seed;- Gunk Shot;- Rock Slide;- Recover
;- Surf;- Curse;- Sludge Bomb;- Thunder

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""picnicker.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/heliolisk.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/masquerain.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/kilowattrel.png"")"
CHARLOTTE;Heliolisk @ Absorb Bulb;Masquerain @ Sharp Beak;Kilowattrel @ Heavy-Duty Boots
;Ability: Dry Skin;Ability: Swift Swim;Ability: Volt Absorb
;Level: 1;Level: 1;Level: 1
;IVs: 0 Atk;Modest Nature;Modest Nature
;- Discharge;IVs: 0 Atk;- Discharge
;- Thunder;- Surf;- Hurricane
;- Hyper Voice;- Hurricane;- U-turn
;- Focus Blast;- Bug Buzz;- Weather Ball
;;- Energy Ball;

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""lass.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/cottonee.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/swirlix.png"")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/morelull.png"")"
TIANA;Cottonee @ Focus Sash;Swirlix @ Oran Berry;Morelull
;Ability: Prankster;Ability: Unburden;Ability: Illuminate
;Level: 1;Level: 11;Level: 11
;- Leech Seed;- Covet;- Mega Drain
;- Substitute;- Leer;- Confuse Ray
;- Endeavor;- Tackle;- Ingrain
;- Fairy Wind;- Fairy Wind;

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""brendan.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/treecko.png"")"
BRENDAN;Treecko
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe
;- Pound
;- Leer

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""brendan.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/torchic.png"")"
BRENDAN;Torchic
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe
;- Scratch
;- Growl

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""brendan.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/mudkip.png"")"
BRENDAN;Mudkip
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe
;- Tackle
;- Growl

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""may.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/treecko.png"")"
MAY;Treecko
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe
;- Pound
;- Leer

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""may.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/torchic.png"")"
MAY;Torchic
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe
;- Scratch
;- Leer

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""may.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/mudkip.png"")"
MAY;Mudkip
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe
;- Tackle
;- Growl

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""salon_maiden_anabel.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/beldum.png"")"
ANABEL;Beldum
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""dome_ace_tucker.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/beldum.png"")"
TUCKER;Beldum
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""palace_maven_spenser.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/beldum.png"")"
SPENSER;Beldum
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""arena_tycoon_greta.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/beldum.png"")"
GRETA;Beldum
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""factory_head_noland.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/beldum.png"")"
NOLAND;Beldum
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""pike_queen_lucy.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/beldum.png"")"
LUCY;Beldum
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""pyramid_king_brandon.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/beldum.png"")"
BRANDON;Beldum
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""red.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/charmander.png"")"
RED;Charmander
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""leaf.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/bulbasaur.png"")"
LEAF;Bulbasaur
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""rs_brendan.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/groudon.png"")"
BRENDAN;Groudon
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

"=IFERROR(INDEX('ID Trainer Pics'!C:C; MATCH(""rs_may.png""; 'ID Trainer Pics'!A:A; 0)); """")";"=IMAGE(""https://play.pokemonshowdown.com/sprites/gen5/kyogre.png"")"
MAY;Kyogre
;Level: 5
;IVs: 0 HP / 0 Atk / 0 Def / 0 SpA / 0 SpD / 0 Spe

